dataset,process,crossSection = -99.99,totalEvents = -999,luminosity=-99.99,isLite=NO,isFastSim=NO,identifier,::PAT,::pickyTrimKT1-mu,::pickyTrimKT1-e,::pickyTrimKT1-met,::pickyTrimKT1-btag
Znunu-HT50to100-madgraph,Znunu,381.2,2844517,,NO,,ZJetsToNuNu_50_HT_100_TuneZ2Star_8TeV_madgraph,/eos/uscms/store/user/bellan/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/ZJetsToNuNu_50_HT_100_TuneZ2Star_8TeV_madgraph/v0/,,,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/Znunu-HT50to100-madgraph/pickyTrimKT1_lite_v0,
Znunu-HT100to200-madgraph,Znunu,160.3,2574000,,NO,,ZJetsToNuNu_100_HT_200_TuneZ2Star_8TeV_madgraph,/eos/uscms/store/user/bellan/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/ZJetsToNuNu_100_HT_200_TuneZ2Star_8TeV_madgraph/v0/,,,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/Znunu-HT100to200-madgraph/pickyTrimKT1_lite_v0,
Znunu-HT200to400-madgraph,Znunu,41.49,3837885,,NO,,ZJetsToNuNu_200_HT_400_TuneZ2Star_8TeV_madgraph,/eos/uscms/store/user/bellan/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/ZJetsToNuNu_200_HT_400_TuneZ2Star_8TeV_madgraph/v0/,,,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/Znunu-HT200to400-madgraph/pickyTrimKT1_lite_v0,
Znunu-HT400toInf-madgraph,Znunu,5.274,994928,,NO,,ZJetsToNuNu_400_HT_inf_TuneZ2Star_8TeV_madgraph,/eos/uscms/store/user/bellan/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/ZJetsToNuNu_400_HT_inf_TuneZ2Star_8TeV_madgraph/v1/,,,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/Znunu-HT400toInf-madgraph/pickyTrimKT1_lite_v0,
Znunu-PT100toInf-madgraph,Znunu,21.44,,,NO,,ZJetsToNuNu_PtZ-100_8TeV-madgraph,,,,,
Gamma-HT200to400-madgraph,photon,960.5,,,,,GJets_HT-200To400_8TeV-madgraph,,,,,
Gamma-HT400toInf-madgraph,photon,107.5,,,,,GJets_HT-400ToInf_8TeV-madgraph,,,,,
Zll-HT200to400-madgraph,Z,25.218005,6711950,,NO,,DYJetsToLL_HT-200To400_TuneZ2Star_8TeV-madgraph,/eos/uscms/store/user/bellan/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/DYJetsToLL_HT-200To400_TuneZ2Star_8TeV-madgraph/v0/;/pnfs/cms/WAX/resilient/sakoay/PAT/Summer12_DR53X-PU_S10_START53_V7C-v1/DYJetsToLL_HT-200To400_TuneZ2Star_8TeV-madgraph_ext/v2/,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/Zll-HT200to400-madgraph/pickyTrimKT1_v2;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/Zll-HT200to400-madgraph/pickyTrimKT1_v2,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/Zll-HT200to400-madgraph/pickyTrimKT1_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/Zll-HT200to400-madgraph/pickyTrimKT1_v0,,
Zll-HT400toInf-madgraph,Z,3.6077915,2727789,,NO,,DYJetsToLL_HT-400ToInf_TuneZ2Star_8TeV-madgraph,/pnfs/cms/WAX/resilient/sakoay/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/DYJetsToLL_HT-400ToInf_TuneZ2Star_8TeV-madgraph/v2/;/pnfs/cms/WAX/resilient/sakoay/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/DYJetsToLL_HT-400ToInf_TuneZ2Star_8TeV-madgraph_ext/v2/,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/Zll-HT400toInf-madgraph/pickyTrimKT1_v2;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/Zll-HT400toInf-madgraph/pickyTrimKT1_v2,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/Zll-HT400toInf-madgraph/pickyTrimKT1_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/Zll-HT400toInf-madgraph/pickyTrimKT1_v0,,
Zll-PT50to70-madgraph,Z,125.8376,4900773,,NO,,DYJetsToLL_PtZ-50To70_TuneZ2star_8TeV-madgraph-tarball,/pnfs/cms/WAX/resilient/bellan/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/DYJetsToLL_PtZ-50To70_TuneZ2star_8TeV-madgraph-tarball/v0,,,,
